Plot,Provenance2,Tree_number,Total_height,Merchantable_height,DBH,Age,basal_area_m2
1,AS1,1,19.8,9,24.3,11,0.04637697615045592
1,AS1,4,21,11,26.7,11,0.055990249670440695
1,AS1,7,20,9.3,27.8,11,0.06069871166000841
1,AS1,2,21.3,10.3,22.8,11,0.04082813812605295
1,AS1,6,19,9,25.7,11,0.05187476329423806
1,AS1,3,20.4,8.9,23,11,0.04154756284372502
1,AS1,5,20.3,7.9,22.9,11,0.04118706508672558
1,AS1,1,21.4,15.5,29.2,11,0.06696618900392003
1,AS1,5,21.8,10.3,27.9,11,0.06113617843702075
1,AS1,7,21.8,10.3,26.7,11,0.055990249670440695
1,AS1,2,22.3,10.8,27.4,11,0.05896455251522681
1,AS1,6,23.2,9,26.1,11,0.053502108288797576
1,AS1,4,22.9,10.7,24.5,11,0.04714352475793183
1,AS1,6,23.4,10.4,27.1,11,0.057680426518072
1,AS1,1,22.1,10.3,31.6,11,0.07842671900421559
1,AS1,3,22.1,10.9,26.1,11,0.053502108288797576
1,AS1,6,22.4,13,29.2,11,0.06696618900392003
1,AS1,7,22.8,13.2,30.5,11,0.07306166415004763
2,AS10,1,24.8,13.4,28.6,11,0.06424242817325769
2,AS10,4,22.3,12.6,30,11,0.07068583470577035
2,AS10,7,23.2,10,29.8,11,0.06974649850234699
2,AS10,2,22.5,12.5,28.5,11,0.06379396582195773
2,AS10,5,24.3,11.4,27.9,11,0.06113617843702075
2,AS10,6,21.1,11.5,29.9,11,0.07021538120589527
2,AS10,1,24.1,12.5,32.2,11,0.08143322317370104
2,AS10,1,20,10.1,25,11,0.04908738521234052
2,AS10,2,23.2,9.5,28,11,0.06157521601035995
2,AS10,4,23.1,11.2,27.9,11,0.06113617843702075
2,AS10,6,19.7,9.9,26.2,11,0.05391287152825445
2,AS10,3,22.1,13.2,24.8,11,0.048305128641596654
2,AS10,5,22.5,13.8,26.4,11,0.05473911039614856
2,AS10,2,22.1,10.1,24.6,11,0.04752915525615999
2,AS10,2,22.4,10.8,25,11,0.04908738521234052
2,AS10,7,22.8,13,28.1,11,0.062015824380025925
3,TA1,2,22.2,10.2,26.7,11,0.055990249670440695
3,TA1,4,24.5,15.5,27.1,11,0.057680426518072
3,TA1,5,23.5,12.7,28.5,11,0.06379396582195773
3,TA1,7,23.5,14.2,29.3,11,0.06742564692950753
3,TA1,2,24.3,13.8,27.2,11,0.05810689772079682
3,TA1,5,22.7,13.4,28.7,11,0.06469246132088441
3,TA1,4,23.5,14.1,24.4,11,0.04675946505603048
3,TA1,7,22.9,13.7,25.6,11,0.05147185403641517
3,TA1,1,24.2,12.8,25,11,0.04908738521234052
3,TA1,5,22.5,15.5,28.7,11,0.06469246132088441
3,TA1,1,22.5,13.7,29.9,11,0.07021538120589527
3,TA1,2,23.4,15,25.1,11,0.04948086969220264
3,TA1,5,23.2,14.4,28.1,11,0.062015824380025925
3,TA1,7,22.4,13.7,29.3,11,0.06742564692950753
3,TA1,4,22.2,13.5,23.1,11,0.04190963139705124
3,TA1,2,23.9,15.8,25.4,11,0.05067074790974978
3,TA1,3,23,14.5,24.7,11,0.047916356550714925
3,TA1,7,21.2,11.5,27.1,11,0.057680426518072
4,TA4,3,19.2,10.3,19.9,11,0.031102552668702342
4,TA4,5,16.6,8.8,23.6,11,0.04374353610858429
4,TA4,2,18.1,9.1,17.4,11,0.023778714795021142
4,TA4,6,20.4,6.1,23.9,11,0.04486272849142564
4,TA4,7,19.1,9.4,27.9,11,0.06113617843702075
4,TA4,4,20.5,10.1,23.4,11,0.04300526183499067
4,TA4,5,18.7,7.3,22,11,0.0380132711084365
4,TA4,6,19.4,10.2,24.4,11,0.04675946505603048
4,TA4,1,18.1,9.3,27.9,11,0.06113617843702075
5,Goaso,3,18.5,13.25,21,11,0.03463605900582747
5,Goaso,4,17.5,11,22.5,11,0.03976078202199582
5,Goaso,2,20,14.5,24.6,11,0.04752915525615999
5,Goaso,6,17.75,11.25,22.2,11,0.03870756308487984
5,Goaso,1,17.25,12,30,11,0.07068583470577035
5,Goaso,5,19.25,11.5,23.8,11,0.044488093567485065
5,Goaso,3,18.5,11,23,11,0.04154756284372502
5,Goaso,2,19,12.5,28.1,11,0.062015824380025925
5,Goaso,6,16,10,18.1,11,0.025730429231063806
5,Goaso,4,19.5,11,28.5,11,0.06379396582195773
6,LO,2,20.5,14,27.1,11,0.057680426518072
6,LO,3,21.5,13.25,25.6,11,0.05147185403641517
6,LO,5,18.25,12,26.5,11,0.05515458602458581
6,LO,6,19,12.75,27.6,11,0.059828490494964026
6,LO,1,19.25,11.5,25.7,11,0.05187476329423806
6,LO,7,19.5,10.25,25.6,11,0.05147185403641517
6,LO,2,20.5,14,24.2,11,0.04599605804120816
6,LO,2,18,12,23.6,11,0.04374353610858429
6,LO,4,19.25,12.5,27,11,0.057255526111673984
6,LO,7,19.25,12.5,26,11,0.05309291584566751
6,LO,4,20.5,12,23.5,11,0.04337361357362408
6,LO,6,20.5,14,22.4,11,0.03940813824663036
6,LO,4,20,12.5,23.2,11,0.04227327074670425
6,LO,6,19,12.5,29.7,11,0.06927918659512551
7,GO5,3,17.25,11.25,20.5,11,0.03300635781677776
7,GO5,5,18.5,12,26.3,11,0.05432520556403811
7,GO5,3,21,13.25,22.7,11,0.04047078196170711
7,GO5,1,19.25,12.5,24.8,11,0.048305128641596654
7,GO5,5,19.5,12.5,21.2,11,0.03529893505573491
7,GO5,3,18.75,12,21.6,11,0.03664353671147135
7,GO5,6,20.5,12.5,23.4,11,0.04300526183499067
7,GO5,4,20.25,13,24.5,11,0.04714352475793183
8,GO1,3,19.25,10.25,27.2,11,0.05810689772079682
8,GO1,4,16.75,10.25,25.6,11,0.05147185403641517
8,GO1,5,18.25,9,26.6,11,0.05557163244934986
8,GO1,7,17.75,11.75,32.3,11,0.08193980498909235
8,GO1,5,19.75,14,22.7,11,0.04047078196170711
8,GO1,4,19,11.25,19.5,11,0.029864765163187975
8,GO1,5,17.5,11.75,20.6,11,0.03332915646193412
8,GO1,6,17.5,11.25,21.1,11,0.0349667116326178
8,GO1,1,18.5,11.5,25.9,11,0.05268529419886423
8,GO1,2,17.5,11.5,24.2,11,0.04599605804120816
8,GO1,4,18.5,12,22.4,11,0.03940813824663036
8,GO1,7,18.25,11.5,24.9,11,0.04869547152880519
8,GO1,1,18.25,10.75,25.3,11,0.05027255104090726
8,GO1,4,19,12,18.5,11,0.026880252142277666
8,GO1,5,19.25,12,21.1,11,0.0349667116326178
8,GO1,3,18.25,12.25,26,11,0.05309291584566751
8,GO1,5,17.75,11.5,23.8,11,0.044488093567485065
8,GO1,7,17,11.5,21.6,11,0.03664353671147135
9,TA4,5,17.3,10,16.1,11,0.02035830579342526
9,TA4,2,17,10.7,18.2,11,0.02601552876437708
9,TA4,7,19.6,11.5,24,11,0.04523893421169302
10,TA1,1,23.1,14.4,30.1,11,0.0711578590019722
10,TA1,2,23,14.8,30.6,11,0.07354154242788347
10,TA1,5,20.3,13.1,17.3,11,0.023506181632322234
10,TA1,7,23,14.1,32,11,0.0804247719318987
10,TA1,2,23.2,13.9,26.9,11,0.05683219650160274
10,TA1,5,19.9,12.5,26.3,11,0.05432520556403811
10,TA1,6,21.2,14.5,24,11,0.04523893421169302
10,TA1,1,22.1,12.4,32.5,11,0.08295768100885548
10,TA1,4,23.4,16.5,24.1,11,0.0456167107282872
10,TA1,6,22,11.2,27.6,11,0.059828490494964026
10,TA1,3,21.7,12.2,21.5,11,0.036305030103047045
10,TA1,4,20.8,15.2,20.3,11,0.03236547291544545
10,TA1,3,22,14.2,29.9,11,0.07021538120589527
10,TA1,7,19.9,12.5,23.1,11,0.04190963139705124
10,TA1,2,17.8,10.2,19,11,0.028352873698647883
10,TA1,3,21.7,12.3,27.9,11,0.06113617843702075
10,TA1,1,23.6,14.8,31.5,11,0.07793113276311181
10,TA1,2,23.3,15.1,28.8,11,0.06514406526483796
11,AS10,1,21.9,14,31,11,0.07547676350249478
11,AS10,2,23.8,10.7,25.3,11,0.05027255104090726
11,AS10,3,20.4,10.7,26.1,11,0.053502108288797576
11,AS10,6,19.9,10.9,28,11,0.06157521601035995
11,AS10,1,19.3,9.1,24.9,11,0.04869547152880519
11,AS10,3,23.1,15.2,26.9,11,0.05683219650160274
11,AS10,2,19,10.2,25.5,11,0.051070515574919075
11,AS10,3,21.2,10.5,25.1,11,0.04948086969220264
11,AS10,3,21,11.5,25.1,11,0.04948086969220264
11,AS10,7,27,15.1,27.5,11,0.05939573610693204
11,AS10,2,18.2,11.1,22.5,11,0.03976078202199582
11,AS10,4,21.2,11.7,23.1,11,0.04190963139705124
11,AS10,7,18.7,10.8,22.2,11,0.03870756308487984
11,AS10,2,22.5,11.2,26.2,11,0.05391287152825445
11,AS10,4,20,12.1,25.3,11,0.05027255104090726
11,AS10,3,22.3,11,26.9,11,0.05683219650160274
11,AS10,7,19.3,10.5,23.2,11,0.04227327074670425
12,AS1,3,16,9.3,12.8,11,0.012867963509103792
12,AS1,6,22.1,14.2,28.8,11,0.06514406526483796
12,AS1,7,21.2,11.7,29,11,0.0660519855417254
12,AS1,2,20.9,13,23.5,11,0.04337361357362408
12,AS1,7,21.2,10.1,22.3,11,0.03905706526759171
12,AS1,5,18.7,9.1,27.4,11,0.05896455251522681
12,AS1,1,20.5,13.4,31.2,11,0.07645379881776121
12,AS1,2,20.7,11.5,23,11,0.04154756284372502
12,AS1,4,17.6,9.9,21.1,11,0.0349667116326178
12,AS1,5,19.9,12.8,19.9,11,0.031102552668702342
12,AS1,7,20.9,12,18.4,11,0.026590440219984007
13,GO1,4,18,13.25,27.3,11,0.05853493971984843
13,GO1,7,14.25,10,20.9,11,0.034306977175363934
13,GO1,6,18.5,13,21.8,11,0.03732526231730033
13,GO1,7,13.25,8,14.4,11,0.01628601631620949
13,GO1,2,19.25,12,25.3,11,0.05027255104090726
13,GO1,3,19.5,13.5,22.6,11,0.04011499659368807
13,GO1,5,19.75,13.75,26,11,0.05309291584566751
13,GO1,1,19.25,14,30.3,11,0.07210661998335632
13,GO1,4,19.5,13.25,22.8,11,0.04082813812605295
13,GO1,6,20,14.25,26.5,11,0.05515458602458581
13,GO1,7,20.25,14.25,27.4,11,0.05896455251522681
13,GO1,7,18.25,12.5,28,11,0.06157521601035995
13,GO1,1,17,16,14.25,11,0.015948491455489433
13,GO1,3,15,14.25,24.8,11,0.048305128641596654
13,GO1,7,19.75,13.25,30,11,0.07068583470577035
13,GO1,2,19.25,14.5,17,11,0.02269800692218626
13,GO1,3,19.5,13,30.1,11,0.0711578590019722
13,GO1,6,19.25,12.5,29.7,11,0.06927918659512551
14,GO5,2,18,11.5,22.7,11,0.04047078196170711
14,GO5,6,18.5,12.25,20.8,11,0.03397946614122721
14,GO5,1,17.25,13,25.2,11,0.049875924968391556
14,GO5,3,18.5,10.25,20.4,11,0.0326851299679482
14,GO5,5,17.25,10.5,19.9,11,0.031102552668702342
14,GO5,6,18.5,10.75,16.1,11,0.02035830579342526
14,GO5,7,18.25,12.5,20.8,11,0.03397946614122721
14,GO5,1,18.25,13.5,24.2,11,0.04599605804120816
14,GO5,2,19.5,14,21,11,0.03463605900582747
14,GO5,7,20,14,30,11,0.07068583470577035
14,GO5,1,18.5,13.25,25.8,11,0.052279243348387745
14,GO5,5,14.75,10.25,21.7,11,0.03698361411622244
14,GO5,7,19.25,14,25.5,11,0.051070515574919075
15,LO,1,22,13.25,31,11,0.07547676350249478
15,LO,2,18,12.5,20,11,0.031415926535897934
15,LO,2,20,15.5,25.3,11,0.05027255104090726
15,LO,3,17.75,11.5,17.5,11,0.02405281875404685
15,LO,7,15.5,9.25,22,11,0.0380132711084365
15,LO,2,18,12.5,20.8,11,0.03397946614122721
15,LO,4,18.25,13.5,16.2,11,0.020611989400202632
15,LO,1,19.5,19,21,11,0.03463605900582747
15,LO,3,17.5,10.75,18.7,11,0.02746458837584537
15,LO,3,16,10.25,18.6,11,0.027171634860898127
15,LO,1,20,14,25.3,11,0.05027255104090726
15,LO,7,18,13.75,25.1,11,0.04948086969220264
16,Goaso,1,19.25,12,26.4,11,0.05473911039614856
16,Goaso,1,15,8.25,18.6,11,0.027171634860898127
16,Goaso,5,16,10.5,19.4,11,0.029559245277626354
16,Goaso,6,17,12,18.3,11,0.026302199094017143
16,Goaso,1,18.25,12.5,25.5,11,0.051070515574919075
16,Goaso,4,16,10.25,20.5,11,0.03300635781677776
16,Goaso,5,15.5,12,18.3,11,0.026302199094017143
16,Goaso,3,17.75,12.5,23.6,11,0.04374353610858429
16,Goaso,5,19.25,12,24.9,11,0.04869547152880519
16,Goaso,6,17.5,11.25,19.25,11,0.029103910692396692
16,Goaso,3,19,12.5,28.8,11,0.06514406526483796
16,Goaso,4,19.25,12.5,30.1,11,0.0711578590019722
17,GO5,2,17.3,10.5,24.2,10,0.04599605804120816
17,GO5,3,15.5,9.9,11.1,10,0.00967689077121996
17,GO5,3,16.7,7.5,22.1,10,0.038359631698494774
17,GO5,5,16.9,8,18.4,10,0.026590440219984007
17,GO5,6,14.8,10,12.1,10,0.01149901451030204
17,GO5,2,16.9,9.9,20.5,10,0.03300635781677776
17,GO5,4,18.4,10,19.9,10,0.031102552668702342
17,GO5,5,16.9,11,12.1,10,0.01149901451030204
17,GO5,6,17.3,9.8,20.8,10,0.03397946614122721
17,GO5,1,16.4,5.1,17.1,10,0.022965827695904786
17,GO5,2,17,7.8,17.2,10,0.023235219265950107
17,GO5,3,17.9,12,16.9,10,0.022431756944794518
17,GO5,5,18.6,10.4,17.7,10,0.024605739061078654
17,GO5,6,18.1,11.6,20.3,10,0.03236547291544545
17,GO5,7,17.6,9.4,21.8,10,0.03732526231730033
17,GO5,3,18.9,11.9,18.3,10,0.026302199094017143
17,GO5,1,16.2,9.6,16.5,10,0.021382464998495533
17,GO5,6,17,10.8,16,10,0.020106192982974676
17,GO5,7,18.8,11.9,17.8,10,0.024884555409084755
17,GO5,1,16.5,11.2,14.1,10,0.015614500886504666
18,64,1,13.5,8.2,14.5,10,0.01651299638543135
18,64,2,15.7,8.1,21,10,0.03463605900582747
18,64,5,14,10,12.1,10,0.01149901451030204
18,64,2,14.5,7.5,10.1,10,0.008011846664817369
18,64,3,14.4,8.1,13.5,10,0.014313881527918496
18,64,4,17,7.6,20.6,10,0.03332915646193412
18,64,7,15.4,8.4,14.8,10,0.017203361371057713
18,64,2,18.2,11.6,18.2,10,0.02601552876437708
18,64,5,12.3,6.7,11.7,10,0.010751315458747667
18,64,7,8.1,5,7.9,10,0.0049016699377634745
18,64,3,17.5,8.8,17.1,10,0.022965827695904786
18,64,6,18.1,9.3,18.5,10,0.026880252142277666
18,64,7,18.4,9.1,21.5,10,0.036305030103047045
18,64,3,13.6,7.3,12.6,10,0.012468981242097889
18,64,6,16.5,7.9,17,10,0.02269800692218626
18,64,3,15.1,6.9,7.5,10,0.004417864669110647
18,64,4,17.6,8.7,21.9,10,0.03766848131470501
18,64,6,17.9,8.3,15.8,10,0.019606679751053898
18,64,7,15.8,6.9,13.1,10,0.013478217882063612
19,Worawora,3,12.5,7.7,13.7,10,0.014741138128806702
19,Worawora,2,14.9,7.9,19.9,10,0.031102552668702342
19,Worawora,4,13.8,7,11.7,10,0.010751315458747667
19,Worawora,5,14.5,7.7,13.8,10,0.014957122623741007
20,Tain II,5,13,6.3,13.2,10,0.01368477759903714
20,Tain II,6,12.8,6,12.8,10,0.012867963509103792
20,Tain II,3,16.7,9.3,24.5,10,0.04714352475793183
20,Tain II,4,15.8,7.7,16.6,10,0.021642431790580088
21,64,3,12.8,6.7,18.7,10,0.02746458837584537
21,64,6,14.8,6.8,16.2,10,0.020611989400202632
21,64,5,10.9,6.6,7.3,10,0.004185386812745002
21,64,7,16.5,9.1,14.5,10,0.01651299638543135
21,64,4,16.8,9,16.5,10,0.021382464998495533
21,64,7,13.5,8.6,11.3,10,0.010028749148422018
21,64,1,7.1,6.9,7.9,10,0.0049016699377634745
21,64,6,12.5,6.6,8.3,10,0.005410607947645022
21,64,2,13.1,6.8,11.9,10,0.011122023391871266
21,64,4,13,7,15,10,0.017671458676442587
22,Worawora,5,15.25,10.25,22.5,10,0.03976078202199582
22,Worawora,6,10.25,8,10.5,10,0.008659014751456867
22,Worawora,7,13.75,9.75,22.4,10,0.03940813824663036
22,Worawora,1,15.75,11,19.6,10,0.030171855845076378
22,Worawora,2,14,8.25,16.1,10,0.02035830579342526
22,Worawora,4,10,6.25,7.4,10,0.004300840342764428
22,Worawora,6,15,8.25,17.4,10,0.023778714795021142
22,Worawora,2,16,11.25,19.4,10,0.029559245277626354
22,Worawora,4,18.25,11.5,18.3,10,0.026302199094017143
22,Worawora,6,14,10.25,13.7,10,0.014741138128806702
22,Worawora,1,16,12.5,21.9,10,0.03766848131470501
22,Worawora,3,17.25,13.5,18.1,10,0.025730429231063806
22,Worawora,7,15,10.25,17,10,0.02269800692218626
22,Worawora,3,18.5,12.25,15.7,10,0.019359279329583704
22,Worawora,7,16.75,12.5,18.5,10,0.026880252142277666
22,Worawora,7,17,12.5,20.5,10,0.03300635781677776
23,Nkawie,1,15.25,10.25,29.5,10,0.06834927516966292
23,Nkawie,2,14.25,6.25,15,10,0.017671458676442587
23,Nkawie,3,14.75,7.72,15.6,10,0.019113449704440302
23,Nkawie,4,16.25,7.25,22,10,0.0380132711084365
23,Nkawie,6,15.25,9.25,19.5,10,0.029864765163187975
23,Nkawie,3,15.25,11.75,17,10,0.02269800692218626
23,Nkawie,5,15.75,9.75,15.7,10,0.019359279329583704
23,Nkawie,7,16.25,8.75,22,10,0.0380132711084365
23,Nkawie,2,14.25,8.25,15.1,10,0.017907863523625216
23,Nkawie,5,13.75,6.25,17,10,0.02269800692218626
23,Nkawie,7,15.75,8.75,23.4,10,0.04300526183499067
23,Nkawie,2,14.25,11.75,16.6,10,0.021642431790580088
23,Nkawie,5,14.75,8.75,23.1,10,0.04190963139705124
23,Nkawie,7,16.75,7.25,29,10,0.0660519855417254
23,Nkawie,5,14.75,9.25,15.2,10,0.018145839167134643
23,Nkawie,6,10.75,4.25,10.4,10,0.008494866535306803
23,Nkawie,7,10.75,4.25,12.7,10,0.012667686977437444
23,Nkawie,1,15.75,10.25,17.6,10,0.024328493509399363
23,Nkawie,3,15.75,9.25,21.6,10,0.03664353671147135
23,Nkawie,3,14.25,6.75,18.5,10,0.026880252142277666
23,Nkawie,5,15.25,6.25,17.6,10,0.024328493509399363
23,Nkawie,7,15.25,8.75,25.1,10,0.04948086969220264
24,GO5,1,16.75,10.25,24,10,0.04523893421169302
24,GO5,4,16.75,8.25,23.5,10,0.04337361357362408
24,GO5,7,16.25,10.75,22.7,10,0.04047078196170711
24,GO5,3,16.25,12.25,21.2,10,0.03529893505573491
24,GO5,3,15.25,11.25,19,10,0.028352873698647883
24,GO5,5,17.25,10.2,20.2,10,0.032047386659269476
24,GO5,7,15.75,9.72,19.8,10,0.030790749597833563
24,GO5,1,16.25,12.25,18,10,0.025446900494077322
24,GO5,4,10.25,9.25,15.6,10,0.019113449704440302
24,GO5,6,16.75,10.75,19.3,10,0.029255296188391556
25,Tain II,7,12,9.25,21.7,10,0.03698361411622244
25,Tain II,3,17.25,10.75,22.7,10,0.04047078196170711
25,Tain II,7,17,11.75,19,10,0.028352873698647883
25,Tain II,1,18.25,13.5,18.9,10,0.02805520779472024
25,Tain II,2,17.5,12.25,19.1,10,0.028652110398902312
25,Tain II,3,19.75,16,28.9,10,0.06559724000511827
25,Tain II,5,17.5,11.25,18.2,10,0.02601552876437708
25,Tain II,3,14.75,8.25,17.3,10,0.023506181632322234
25,Tain II,7,16.25,11.25,17.4,10,0.023778714795021142
25,Tain II,6,17.25,12.25,20,10,0.031415926535897934
26,TA4,6,12,8.25,14.5,10,0.01651299638543135
26,TA4,7,10,7.75,12.6,10,0.012468981242097889
26,TA4,1,11.25,8.75,15.3,10,0.018385385606970867
26,TA4,2,11,8.25,17.8,10,0.024884555409084755
26,TA4,4,9.25,7,15.8,10,0.019606679751053898
26,TA4,7,10.5,7,16.2,10,0.020611989400202632
26,TA4,1,10.25,7,17.3,10,0.023506181632322234
26,TA4,3,9.5,6.25,12.3,10,0.011882288814039998
26,TA4,7,10.25,7,12.2,10,0.01168986626400762
26,TA4,1,12,9,11.2,10,0.00985203456165759
26,TA4,2,11.5,8.25,11.9,10,0.011122023391871266
26,TA4,4,9.25,6,10.3,10,0.00833228911548353
26,TA4,5,10,7.25,11.8,10,0.010935884027146072
26,TA4,1,8.25,5,10.5,10,0.008659014751456867
26,TA4,3,11.25,8,18.7,10,0.02746458837584537
26,TA4,5,10,6.75,13.6,10,0.014526724430199206
27,GO1,1,18.8,12.3,25.7,10,0.05187476329423806
27,GO1,2,19,11.3,24.1,10,0.0456167107282872
27,GO1,5,18.5,14.1,21.7,10,0.03698361411622244
27,GO1,6,19,12.8,23.5,10,0.04337361357362408
27,GO1,1,19,12.8,22.3,10,0.03905706526759171
27,GO1,2,20,13.7,22.2,10,0.03870756308487984
27,GO1,3,19.5,13.9,16.2,10,0.020611989400202632
27,GO1,4,18.9,12.2,18.5,10,0.026880252142277666
27,GO1,5,19.2,11.4,23.6,10,0.04374353610858429
27,GO1,7,19.8,15,20,10,0.031415926535897934
27,GO1,1,20,14.3,19.6,10,0.030171855845076378
27,GO1,3,17.1,12,13.6,10,0.014526724430199206
27,GO1,4,19.6,13.8,19.6,10,0.030171855845076378
27,GO1,7,15,9.1,13.5,10,0.014313881527918496
27,GO1,6,16.3,10.8,19.3,10,0.029255296188391556
27,GO1,3,19.7,12.7,19.1,10,0.028652110398902312
27,GO1,6,19.9,12.3,21.5,10,0.036305030103047045
27,GO1,1,21.5,12.9,28.5,10,0.06379396582195773
27,GO1,4,21,10.1,21.8,10,0.03732526231730033
27,GO1,6,21,16,20.3,10,0.03236547291544545
27,GO1,2,20,15.5,20.1,10,0.031730871199420314
27,GO1,3,20,13,23.2,10,0.04227327074670425
27,GO1,6,21,10.7,25.7,10,0.05187476329423806
27,GO1,7,21,11.1,26.4,10,0.05473911039614856
28,Nkawie,1,18.6,13.1,21.1,10,0.0349667116326178
28,Nkawie,7,18.6,12.6,18.6,10,0.027171634860898127
28,Nkawie,1,17.4,9.1,21.7,10,0.03698361411622244
28,Nkawie,6,20,12.5,21.9,10,0.03766848131470501
28,Nkawie,6,16.8,10.3,13.7,10,0.014741138128806702
28,Nkawie,2,16,12.3,14.3,10,0.016060607043314423
29,GO1,2,20,11.9,19,10,0.028352873698647883
29,GO1,3,18.3,10.9,17.8,10,0.024884555409084755
29,GO1,4,18.1,10.8,20.7,10,0.03365352590341726
29,GO1,7,19.1,11,25.9,10,0.05268529419886423
29,GO1,1,18.5,11.1,22.6,10,0.04011499659368807
29,GO1,5,18.6,10.2,17.7,10,0.024605739061078654
29,GO1,6,19.7,11,17.6,10,0.024328493509399363
29,GO1,2,18.5,12,16.9,10,0.022431756944794518
29,GO1,5,18.6,11.1,23,10,0.04154756284372502
29,GO1,2,18.9,11.6,21.6,10,0.03664353671147135
29,GO1,6,19.5,11,18,10,0.025446900494077322
29,GO1,7,18.2,10.6,18.6,10,0.027171634860898127
29,GO1,1,18.6,10.9,22.5,10,0.03976078202199582
29,GO1,4,18.3,10.8,21.1,10,0.0349667116326178
29,GO1,6,17.8,12.3,18.4,10,0.026590440219984007
29,GO1,3,18,11.1,20.4,10,0.0326851299679482
29,GO1,4,18,11.8,17.3,10,0.023506181632322234
29,GO1,2,18.2,12.2,25.9,10,0.05268529419886423
29,GO1,4,18.6,10.6,21.9,10,0.03766848131470501
29,GO1,5,16,10.1,16.5,10,0.021382464998495533
30,Pampawie,3,17.6,9.3,22.6,10,0.04011499659368807
30,Pampawie,5,11.5,6.5,10,10,0.007853981633974483
30,Pampawie,7,17.6,10.5,16.5,10,0.021382464998495533
30,Pampawie,2,18.3,9,23.1,10,0.04190963139705124
30,Pampawie,7,15.4,8,19.1,10,0.028652110398902312
31,Dunkwa,4,16.75,12.5,22,10,0.0380132711084365
31,Dunkwa,6,14.25,9.75,16.2,10,0.020611989400202632
31,Dunkwa,7,14,9.25,17.5,10,0.02405281875404685
32,TA4,1,15.2,10.75,19.4,10,0.029559245277626354
32,TA4,2,15.75,12.5,21.9,10,0.03766848131470501
32,TA4,7,14.5,9.75,16.2,10,0.020611989400202632
32,TA4,1,14.25,9.75,20.4,10,0.0326851299679482
32,TA4,3,14.75,11,20.3,10,0.03236547291544545
32,TA4,4,16.5,12.75,22.3,10,0.03905706526759171
32,TA4,2,15.75,11.25,18.2,10,0.02601552876437708
33,Pampawie,5,13.25,8.25,13.4,10,0.014102609421964583
33,Pampawie,1,14.75,10,23.2,10,0.04227327074670425
33,Pampawie,7,16.25,9.75,18.3,10,0.026302199094017143
33,Pampawie,5,17.75,15,18,10,0.025446900494077322
33,Pampawie,3,14.5,10,16.3,10,0.020867243803306804
33,Pampawie,4,16.25,9.25,24.1,10,0.0456167107282872
33,Pampawie,1,14,8.25,16.7,10,0.02190396937899143
33,Pampawie,3,16,7.25,21.5,10,0.036305030103047045
33,Pampawie,7,17.25,12.75,25.7,10,0.05187476329423806
34,TA1,1,16.25,14.25,24.3,10,0.04637697615045592
34,TA1,2,17.75,13.25,26.5,10,0.05515458602458581
34,TA1,5,17.5,12.75,27.4,10,0.05896455251522681
34,TA1,6,16.5,12.5,23.2,10,0.04227327074670425
34,TA1,7,18.25,14,30,10,0.07068583470577035
34,TA1,1,17.5,14.25,21.5,10,0.036305030103047045
34,TA1,3,19,15.25,27,10,0.057255526111673984
34,TA1,5,19.25,15,24.5,10,0.04714352475793183
34,TA1,1,15.75,12.5,17.6,10,0.024328493509399363
34,TA1,7,17.5,15.25,23.7,10,0.04411502943987127
34,TA1,1,19.25,14,24.7,10,0.047916356550714925
34,TA1,2,19.25,14.25,23.8,10,0.044488093567485065
34,TA1,3,18,15.25,18.7,10,0.02746458837584537
34,TA1,6,16.25,12.5,23.8,10,0.044488093567485065
34,TA1,3,18.25,15,24.1,10,0.0456167107282872
34,TA1,4,19,14.5,20.1,10,0.031730871199420314
34,TA1,6,20,15,21.7,10,0.03698361411622244
34,TA1,2,16.25,14,21.2,10,0.03529893505573491
34,TA1,4,18,14.5,19.8,10,0.030790749597833563
34,TA1,6,18.25,14.25,22.8,10,0.04082813812605295
34,TA1,7,19.75,15.75,29,10,0.0660519855417254
34,TA1,2,18.5,14,26.7,10,0.055990249670440695
34,TA1,3,18.5,14,26.5,10,0.05515458602458581
34,TA1,5,18.5,14.75,24.8,10,0.048305128641596654
34,TA1,7,18.75,15,26.2,10,0.05391287152825445
35,AS10,4,12,8.9,9.2,10,0.006647610054996002
35,AS10,7,15.9,9.7,28.2,10,0.062458003546018666
35,AS10,1,19,10.2,27.3,10,0.05853493971984843
35,AS10,3,17.3,9.1,24.5,10,0.04714352475793183
35,AS10,7,17.8,10,22.9,10,0.04118706508672558
35,AS10,2,17.4,11.4,22.8,10,0.04082813812605295
35,AS10,6,18.5,9.9,22.2,10,0.03870756308487984
35,AS10,7,19,10.9,25.7,10,0.05187476329423806
35,AS10,1,18.8,10.1,26.7,10,0.055990249670440695
35,AS10,4,18.1,10.4,24.3,10,0.04637697615045592
35,AS10,7,19,11.3,13.2,10,0.01368477759903714
35,AS10,2,18,11.1,23.2,10,0.04227327074670425
35,AS10,3,19,11.1,23.3,10,0.04263848089268407
35,AS10,5,20,13.9,24.6,10,0.04752915525615999
35,AS10,6,18,10.2,23.5,10,0.04337361357362408
35,AS10,4,17.5,9.4,22.6,10,0.04011499659368807
35,AS10,5,18.1,13.1,26.5,10,0.05515458602458581
35,AS10,7,18.7,10.6,25.5,10,0.051070515574919075
35,AS10,1,19.5,10,31.6,10,0.07842671900421559
